7e41ded0-1e5f-11e4-a210-8fd3dd2745eb,"Sister of Venus","Serena","Williams","{'venuswilliams@grandslam.com'}","['Breakouts','Momentum']","{'home':'817-234-5678'}"
7e400a10-1e5f-11e4-a210-8fd3dd2745eb,"Tiger Woods","Eldrick","Woods","{'tiger@woodsfoundation.com'}","['Reversals']","{'work':'817-246-1357'}"
7e42c930-1e5f-11e4-a210-8fd3dd2745eb,"Wizard of Wall Street","Warren","Buffett","{'chairman@berkshirehathaway.com'}","['CCI Correction','Breakouts']","{'cell':'361-222-3434'}"
7e453a30-1e5f-11e4-a210-8fd3dd2745eb,"Two-Time World Series Winner","Buster","Posey","{'catcher@sfgiants.com'}","['Position Trading']","{'home':'512-987-6543'}"
7e4476e0-1e5f-11e4-a210-8fd3dd2745eb,"King James","Lebron","James","{'the.king@nba.com'}","['Reversals','Retracements']","{'work':'361-975-2468'}"
7e425400-1e5f-11e4-a210-8fd3dd2745eb,"Doctor Liberty","Ron","Paul","{'ronpaul@libertyordeath.com'}","['Breakouts','Position Trading']","{'cell':'979-432-0987'}"
7e436570-1e5f-11e4-a210-8fd3dd2745eb,"Friend with Benefits","Justin","Timberlake","{'jt@timberlake.com'}","['Retracements','Momentum']","{'work':'832-321-5678'}"
7e43daa0-1e5f-11e4-a210-8fd3dd2745eb,"Child of Destiny","Beyonce","Knowles","{'beyonce@independentwoman.com'}","['Momentum','Retracements']","{'home':'361-123-4567'}"
7e411b80-1e5f-11e4-a210-8fd3dd2745eb,"The Ex-Governator","Arnold","Schwarzenegger","{'gov@schwarzenegger.com'}","['Breakouts','Reversals']","{'work':'214-102-3040'}"
7e45d670-1e5f-11e4-a210-8fd3dd2745eb,"Two-Time Super Bowl Winner","Eli","Manning","{'eli@manningbrothers.com'}","['Stochastic Pop and Drop']","{'cell':'281-789-1234'}"
