7e41ded0-1e5f-11e4-a210-8fd3dd2745eb,"Sister of Venus","Serena","Williams","{'venuswilliams@grandslam.com'}","['Breakouts','Momentum']"
7e400a10-1e5f-11e4-a210-8fd3dd2745eb,"Tiger Woods","Eldrick","Woods","{'tiger@woodsfoundation.com'}","['Reversals']"
7e42c930-1e5f-11e4-a210-8fd3dd2745eb,"Wizard of Wall Street","Warren","Buffett","{'chairman@berkshirehathaway.com'}","['CCI Correction','Breakouts']"
7e453a30-1e5f-11e4-a210-8fd3dd2745eb,"Two-Time World Series Winner","Buster","Posey","{'catcher@sfgiants.com'}","['Position Trading']"
7e4476e0-1e5f-11e4-a210-8fd3dd2745eb,"King James","Lebron","James","{'the.king@nba.com'}","['Reversals','Retracements']"
7e425400-1e5f-11e4-a210-8fd3dd2745eb,"Doctor Liberty","Ron","Paul","{'ronpaul@libertyordeath.com'}","['Breakouts','Position Trading']"
7e436570-1e5f-11e4-a210-8fd3dd2745eb,"Friend with Benefits","Justin","Timberlake","{'jt@timberlake.com'}","['Retracements','Momentum']"
7e43daa0-1e5f-11e4-a210-8fd3dd2745eb,"Child of Destiny","Beyonce","Knowles","{'beyonce@independentwoman.com'}","['Momentum','Retracements']"
7e411b80-1e5f-11e4-a210-8fd3dd2745eb,"The Ex-Governator","Arnold","Schwarzenegger","{'gov@schwarzenegger.com'}","['Breakouts','Reversals']"
7e45d670-1e5f-11e4-a210-8fd3dd2745eb,"Two-Time Super Bowl Winner","Eli","Manning","{'eli@manningbrothers.com'}","['Stochastic Pop and Drop']"
